Timestamp,1. How comfortable are you with your surroundings in school ?,2. How would you rate the quality of your relationships with your classmates?,3. Do you have any close friends at school?,"4. If 'YES', how did they affect in your academics?",5. What is the part of your student life that you are unsatisfied with the most?,6. Do you sometimes feel isolated in your college  environment?,7. How often do external problems affect your academics ?,8. Does your personal relationship (Love Life) affect your academic level  ?,9. Do you feel comfortable seeking help or advice from friends when facing academic challenges?,"10. Are you engaged in any external activities  (Associations, Clubs, organizations...) outside of academics? ","11. If 'YES',How often are you engaged in these social activities ? ",1. Does your academic study affect your mental well-being?,2. If 'YES' rate it: ,3. Do you feel motivated to wake up and go to college?,4. How stresseful  school is for you?,5. How would you rate the university environment ?,6. Do you experience any sleep disorders during exams and assesment due to the university environment ?,7. Is it tough for you to fulfill your ambitions ?,"8. If you could choose any of these words to describe your mental health, which would suit you? ",9. Do academic results affect your mental health ?,"1. Are you engaged in any physical activities ? (gym, sport activity ...)","2. If ""NO"", tell us why ",3. Do you often have time to have lunch during the break,4. Does it cause you any eat disorders,5. How many hours of sleep do you get on an average night at university ?,6. How would you describe your daily routine?,7. How do you rate your overall health ?,1. How do you rate your emotional resilience ?,2. Have you ever felt like you lack a sense of purpose in your studies ?,3. How confident do you feel in your ability to overcome challenges in your academic life?,4. Have you ever received training or support in developing emotional resilience skills?,"5. If 'YES', did it help ?",6. How often do you engage in activities that help you relax and unwind?,Are you?,15.Age ,Status ,Level of education,Field of study,Location,Governorates,Your university ,How well do you describe yourself academically ?,Share your opinon about the surveys 
10/24/2023 20:16:14,6,7,No,NULL,"Exams, Administration",Rarely,Often,Agree,Comfortable,No,NULL,Yes,8,Rarely,8,Good,occasionally,No,trying my best,Yes,Yes,NULL,No,Yes,5-6 hours,Challenging,5,8,Yes,Neutral,No,NULL,Never,Female,18-21,Single,Pre-Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,7,
10/24/2023 20:18:44,6,5,Yes,Positive/Good,"Social life, school location",Sometimes,Often,Disagree,Neutral,"Yes, occasionally",Monthly,Yes,8,Often,4,Toxic,occasionally,Yes,struggling,Yes,No,other reasons,Yes,No,6-7 hours,Boring,9,7,Yes,Confident,No,NULL,Rarely,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Nabeul,Public,8,
10/24/2023 20:24:19,5,6,Yes,Normal,Schedule,Rarely,Always,Agree,Comfortable,"Yes, occasionally",Rarely,Yes,8,Never,10,Stressful,occasionally,No,struggling,Yes,No,other reasons,Yes,Yes,6-7 hours,Boring,7,5,Yes,Confident,No,NULL,Never,Female,18-21,Taken,Pre-Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Private,7,
10/24/2023 20:29:52,5,6,No,Normal,"Social life, Subjects",Often,Sometimes,Agree,Neutral,"Yes, Too Much",Daily,Yes,8,Rarely,8,Toxic,always,No,overwhelmed,Yes,No,I have other engagements,Yes,No,5-6 hours,Challenging,6,7,Yes,Confident,No,NULL,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,8,
10/24/2023 20:43:06,4,4,Yes,Normal,"Administration, honestly just going there",Sometimes,Often,Disagree,Neutral,"Yes, occasionally",Rarely,Yes,7,Rarely,8,Stressful,occasionally,Yes,bored,Yes,No,Schedule,Yes,Yes,5-6 hours,Boring,6,4,Yes,Neutral,No,NULL,Daily,Female,22-24,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,5,
10/24/2023 20:55:51,6,7,Yes,Normal,"Teacher, Administration",Rarely,Sometimes,Agree,Comfortable,"Yes, occasionally",Weekly,Yes,6,Sometimes,8,Stressful,occasionally,Yes,trying my best,Yes,No,other reasons,Yes,No,6-7 hours,Boring,7,6,Yes,Unconfident,No,NULL,Never,Female,22-24,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,3,It s good
10/24/2023 21:49:15,7,8,No,NULL,"Social life, Subjects, Administration",Sometimes,Sometimes,Agree,Comfortable,"Yes, occasionally",Weekly,No,NULL,Often,5,Good,never,No,happy,Yes,No,I have other engagements,Yes,No,7-9 hours,Challenging,9,8,No,Confident,No,NULL,Daily,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Sousse,Public,8,good 
10/24/2023 21:52:36,5,6,No,NULL,"Social life, Subjects, Schedule",Sometimes,Often,Agree,Neutral,No,NULL,Yes,6,Rarely,4,Good,sometimes,Yes,trying my best,Yes,No,Schedule,Yes,No,6-7 hours,Boring,7,8,Yes,Neutral,No,NULL,Rarely,Female,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,NULL,Public,8,
10/24/2023 22:29:09,3,5,Yes,Positive/Good,"Social life, Teacher, Schedule",Never,Rarely,Disagree,Comfortable,"Yes, occasionally",Monthly,No,NULL,Rarely,3,Good,never,No,excited,No,Yes,NULL,No,No,6-7 hours,Boring,7,6,Yes,Confident,No,NULL,Never,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,8,
10/24/2023 23:32:08,6,7,Yes,Normal,"Social life, Schedule",Sometimes,Sometimes,Disagree,Neutral,No,NULL,Yes,7,Sometimes,6,Good,occasionally,Yes,trying my best,Yes,No,Schedule,Yes,No,6-7 hours,Boring,8,5,Yes,Neutral,No,NULL,Rarely,Female,18-21,Single,Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Tunis,Private,7,
